season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,home_score,away_score,match_id
73_2025,Regular Season,2025-09-20,19:30,San Antonio FC,Orange County,'3-1,"5,970",Joshua Encarnacion,Toyota Field,https://fbref.com/en/matches/c33f83e5/San-Antonio-FC-Orange-County-SC-September-20-2025-USL-Championship,3,1,c33f83e5
73_2025,Regular Season,2025-09-20,20:00,El Paso,Charleston,'0-2,"7,842",Servando Berna Rico,Southwest University Park,https://fbref.com/en/matches/53ca1769/El-Paso-Locomotive-Charleston-Battery-September-20-2025-USL-Championship,0,2,53ca1769
73_2025,Regular Season,2025-09-24,19:00,CS Switchbacks,New Mexico Utd,'1-2,"6,059",Muhammad Kaleia,Weidner Field,https://fbref.com/en/matches/77499023/Colorado-Springs-Switchbacks-New-Mexico-United-September-24-2025-USL-Championship,1,2,77499023
73_2025,Regular Season,2025-09-26,19:00,North Carolina,Miami FC,'1-0,"3,774",Edson Carvajal,First Horizon Stadium at WakeMed Soccer ...,https://fbref.com/en/matches/980e63c4/North-Carolina-FC-Miami-FC-September-26-2025-USL-Championship,1,0,980e63c4
73_2025,Regular Season,2025-09-27,19:00,Detroit City,Louisville City,'0-1,"6,269",Elton Garcia,Keyworth Stadium,https://fbref.com/en/matches/b9359fdd/Detroit-City-Louisville-City-September-27-2025-USL-Championship,0,1,b9359fdd
73_2025,Regular Season,2025-09-27,19:00,Indy Eleven,FC Tulsa,'2-1,"9,512",John Matto,Michael A. Carroll Stadium,https://fbref.com/en/matches/18c533d7/Indy-Eleven-FC-Tulsa-September-27-2025-USL-Championship,2,1,18c533d7
73_2025,Regular Season,2025-09-26,20:00,El Paso,Rhode Island FC,'2-2,"5,312",Joshua Encarnacion,Southwest University Park,https://fbref.com/en/matches/711a1faa/El-Paso-Locomotive-Rhode-Island-FC-September-26-2025-USL-Championship,2,2,711a1faa
73_2025,Regular Season,2025-09-28,16:27,New Mexico Utd,Lexington SC,'2-1,"8,439",Rodrigo Albuquerque,Isotopes Park,https://fbref.com/en/matches/d998710c/New-Mexico-United-Lexington-SC-September-28-2025-USL-Championship,2,1,d998710c
73_2025,Regular Season,2025-09-28,17:00,Loudoun United,TB Rowdies,'2-2,"2,640",Thomas Snyder,Segra Field,https://fbref.com/en/matches/c6c2b1d8/Loudoun-United-Tampa-Bay-Rowdies-September-28-2025-USL-Championship,2,2,c6c2b1d8
73_2025,Regular Season,2025-09-28,18:00,Pittsburgh,LV Lights FC,'1-0,"5,011",Amin Hadzic,Highmark Stadium,https://fbref.com/en/matches/184081df/Pittsburgh-Riverhounds-Las-Vegas-Lights-FC-September-28-2025-USL-Championship,1,0,184081df
73_2025,Regular Season,2025-09-27,18:00,CS Switchbacks,Hartford Athletic,'0-2,"7,006",Brad Jensen,Weidner Field,https://fbref.com/en/matches/b9ada2af/Colorado-Springs-Switchbacks-Hartford-Athletic-September-27-2025-USL-Championship,0,2,b9ada2af
73_2025,Regular Season,2025-09-27,19:00,Orange County,Charleston,'2-2,"5,000",Muhammad Kaleia,Orange Country Great Park Championship S...,https://fbref.com/en/matches/34f139ac/Orange-County-SC-Charleston-Battery-September-27-2025-USL-Championship,2,2,34f139ac
73_2025,Regular Season,2025-09-27,19:00,Monterey Bay,Sac Republic,'1-0,"2,747",Corbyn May,Cardinale Stadium,https://fbref.com/en/matches/315bf839/Monterey-Bay-Sacramento-Republic-September-27-2025-USL-Championship,1,0,315bf839
73_2025,Regular Season,2025-09-27,19:00,Phx Rising,Roots,'3-3,"4,999",Elvis Osmanovic,Phoenix Rising Soccer Stadium,https://fbref.com/en/matches/e8fd257e/Phoenix-Rising-Oakland-Roots-September-27-2025-USL-Championship,3,3,e8fd257e
73_2025,Regular Season,2025-09-27,19:30,San Antonio FC,B'ham Legion,'0-0,"7,009",Luis Arroyo,Toyota Field,https://fbref.com/en/matches/fb805ab2/San-Antonio-FC-Birmingham-Legion-September-27-2025-USL-Championship,0,0,fb805ab2
73_2025,Regular Season,2025-10-01,13:00,El Paso,Roots,'3-1,"4,049",Amin Hadzic,Southwest University Park,https://fbref.com/en/matches/ce92c518/El-Paso-Locomotive-Oakland-Roots-October-1-2025-USL-Championship,3,1,ce92c518
73_2025,Regular Season,2025-10-01,19:00,B'ham Legion,North Carolina,'1-1,"3,935",Calin Radosav,Protective Stadium,https://fbref.com/en/matches/e0fca587/Birmingham-Legion-North-Carolina-FC-October-1-2025-USL-Championship,1,1,e0fca587
73_2025,Regular Season,2025-10-01,19:30,Sac Republic,Orange County,'2-1,"9,088",Rodrigo Albuquerque,Heart Health Park,https://fbref.com/en/matches/d6e8ae4c/Sacramento-Republic-Orange-County-SC-October-1-2025-USL-Championship,2,1,d6e8ae4c
73_2025,Regular Season,2025-10-04,16:00,Detroit City,North Carolina,'2-0,"6,127",Mark Verso,Keyworth Stadium,https://fbref.com/en/matches/dc3f4476/Detroit-City-North-Carolina-FC-October-4-2025-USL-Championship,2,0,dc3f4476
73_2025,Regular Season,2025-10-04,17:00,Loudoun United,B'ham Legion,'0-1,"2,681",Edson Carvajal,Segra Field,https://fbref.com/en/matches/d6a51b5e/Loudoun-United-Birmingham-Legion-October-4-2025-USL-Championship,0,1,d6a51b5e
73_2025,Regular Season,2025-10-04,19:00,Miami FC,Pittsburgh,'3-1,"2,033",Drew Klemp,South Dade Kia Field at Pitbull Stadium,https://fbref.com/en/matches/26d68f7a/Miami-FC-Pittsburgh-Riverhounds-October-4-2025-USL-Championship,3,1,26d68f7a
73_2025,Regular Season,2025-10-04,19:30,Louisville City,Indy Eleven,'2-0,"9,785",Servando Berna Rico,Lynn Family Stadium,https://fbref.com/en/matches/d598c0ae/Louisville-City-Indy-Eleven-October-4-2025-USL-Championship,2,0,d598c0ae
73_2025,Regular Season,2025-10-04,19:30,TB Rowdies,Monterey Bay,'4-0,"4,778",Brandon Stevis,Al Lang Stadium,https://fbref.com/en/matches/a2d79e19/Tampa-Bay-Rowdies-Monterey-Bay-October-4-2025-USL-Championship,4,0,a2d79e19
73_2025,Regular Season,2025-10-05,17:00,Rhode Island FC,LV Lights FC,'3-1,"9,879",Katja Koroleva,Centreville Bank Stadium,https://fbref.com/en/matches/88cbc24a/Rhode-Island-FC-Las-Vegas-Lights-FC-October-5-2025-USL-Championship,3,1,88cbc24a
73_2025,Regular Season,2025-10-04,18:00,CS Switchbacks,San Antonio FC,'1-0,"6,452",Cristian Campo Hernández,Weidner Field,https://fbref.com/en/matches/d855bc46/Colorado-Springs-Switchbacks-San-Antonio-FC-October-4-2025-USL-Championship,1,0,d855bc46
73_2025,Regular Season,2025-10-04,19:00,Orange County,El Paso,'0-0,"5,000",Elton Garcia,Orange Country Great Park Championship S...,https://fbref.com/en/matches/7b9b6215/Orange-County-SC-El-Paso-Locomotive-October-4-2025-USL-Championship,0,0,7b9b6215
73_2025,Regular Season,2025-10-04,19:00,FC Tulsa,Lexington SC,'3-0,"3,199",Brad Jensen,ONEOK Field,https://fbref.com/en/matches/0cde6d16/FC-Tulsa-Lexington-SC-October-4-2025-USL-Championship,3,0,0cde6d16
73_2025,Regular Season,2025-10-04,19:00,Phx Rising,New Mexico Utd,'0-1,"5,323",Atahan Yaya,Phoenix Rising Soccer Stadium,https://fbref.com/en/matches/98d94c29/Phoenix-Rising-New-Mexico-United-October-4-2025-USL-Championship,0,1,98d94c29
73_2025,Regular Season,2025-10-07,19:00,Roots,Hartford Athletic,'1-3,"5,716",Alex Billeter,Oakland-Alameda County Coliseum,https://fbref.com/en/matches/33d61e0c/Oakland-Roots-Hartford-Athletic-October-7-2025-USL-Championship,1,3,33d61e0c
73_2025,Regular Season,2025-10-10,19:00,North Carolina,Phx Rising,'0-2,"2,526",Elton Garcia,First Horizon Stadium at WakeMed Soccer ...,https://fbref.com/en/matches/842f63c3/North-Carolina-FC-Phoenix-Rising-October-10-2025-USL-Championship,0,2,842f63c3
73_2025,Regular Season,2025-10-11,16:00,Detroit City,Loudoun United,'0-1,"6,285",Luis Arroyo,Keyworth Stadium,https://fbref.com/en/matches/4209aa87/Detroit-City-Loudoun-United-October-11-2025-USL-Championship,0,1,4209aa87
73_2025,Regular Season,2025-10-11,19:00,Hartford Athletic,Sac Republic,'3-2,"4,558",Brandon Stevis,Trinity Health Stadium,https://fbref.com/en/matches/72eaec44/Hartford-Athletic-Sacramento-Republic-October-11-2025-USL-Championship,3,2,72eaec44
73_2025,Regular Season,2025-10-11,19:00,Rhode Island FC,TB Rowdies,'5-0,"10,621",Jeremy Scheer,Centreville Bank Stadium,https://fbref.com/en/matches/1f6ab4df/Rhode-Island-FC-Tampa-Bay-Rowdies-October-11-2025-USL-Championship,5,0,1f6ab4df
73_2025,Regular Season,2025-10-11,19:00,Lexington SC,El Paso,'1-2,"4,434",Edson Carvajal,Lexington SC Stadium,https://fbref.com/en/matches/4715beab/Lexington-SC-El-Paso-Locomotive-October-11-2025-USL-Championship,1,2,4715beab
73_2025,Regular Season,2025-10-11,19:00,Pittsburgh,Indy Eleven,'2-1,"5,618",Muhammad Kaleia,Highmark Stadium,https://fbref.com/en/matches/6432a25c/Pittsburgh-Riverhounds-Indy-Eleven-October-11-2025-USL-Championship,2,1,6432a25c
73_2025,Regular Season,2025-10-11,19:30,Louisville City,Miami FC,'1-0,"10,237",Amin Hadzic,Lynn Family Stadium,https://fbref.com/en/matches/e4d7a203/Louisville-City-Miami-FC-October-11-2025-USL-Championship,1,0,e4d7a203
73_2025,Regular Season,2025-10-11,19:00,New Mexico Utd,Orange County,'3-3,"8,148",Thomas Snyder,Isotopes Park,https://fbref.com/en/matches/73f4f722/New-Mexico-United-Orange-County-SC-October-11-2025-USL-Championship,3,3,73f4f722
73_2025,Regular Season,2025-10-11,19:00,FC Tulsa,San Antonio FC,'2-0,"2,289",John Griggs,ONEOK Field,https://fbref.com/en/matches/5aed7384/FC-Tulsa-San-Antonio-FC-October-11-2025-USL-Championship,2,0,5aed7384
73_2025,Regular Season,2025-10-11,19:30,LV Lights FC,Roots,'2-2,"4,570",Joe Surgan,Cashman Field,https://fbref.com/en/matches/60b6a7ef/Las-Vegas-Lights-FC-Oakland-Roots-October-11-2025-USL-Championship,2,2,60b6a7ef
