season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,notes,home_score,away_score,match_id
73_2018,Regular Season,2018-09-15,19:00,Sounders 2,Phx Rising,'0-1,"5,392",Greg Dopka,Cheney Stadium,https://fbref.com/en/matches/33fbb07c/Seattle-Sounders-FC-2-Phoenix-Rising-September-15-2018-USL,,0,1,33fbb07c
73_2018,Regular Season,2018-09-16,18:00,Fresno,Orange County,'0-1,"3,056",Michael Radchuk,Chukchansi Park,https://fbref.com/en/matches/8e3a7079/Fresno-FC-Orange-County-SC-September-16-2018-USL,,0,1,8e3a7079
73_2018,Regular Season,2018-09-16,18:00,LV Lights FC,Timbers 2,'1-2,"4,875",Matthew Franz,Cashman Field,https://fbref.com/en/matches/c6f63327/Las-Vegas-Lights-FC-Portland-Timbers-2-September-16-2018-USL,,1,2,c6f63327
73_2018,Regular Season,2018-09-19,18:30,Penn FC,Louisville City,'0-3,"2,095",Bardhyl Pashaj,FNB FIELD,https://fbref.com/en/matches/f30af6ea/Penn-FC-Louisville-City-September-19-2018-USL,,0,3,f30af6ea
73_2018,Regular Season,2018-09-19,19:00,Charleston,Charlotte Ind'ence,'1-1,"1,322",Joe Dickerson,MUSC Health Stadium,https://fbref.com/en/matches/3e9e87a5/Charleston-Battery-Charlotte-Independence-September-19-2018-USL,,1,1,3e9e87a5
73_2018,Regular Season,2018-09-18,19:30,Nashville,TB Rowdies,'1-2,"7,269",Malik Badawi,First Tennessee Park,https://fbref.com/en/matches/83dbabe2/Nashville-SC-Tampa-Bay-Rowdies-September-18-2018-USL,,1,2,83dbabe2
73_2018,Regular Season,2018-09-19,19:00,Tulsa,Sac Republic,'1-4,"2,135",Rubiel Vazquez,ONEOK Field,https://fbref.com/en/matches/0f32166d/Tulsa-Roughnecks-FC-Sacramento-Republic-September-19-2018-USL,,1,4,0f32166d
73_2018,Regular Season,2018-09-19,19:00,Orange County,Monarchs,'5-2,"2,238",Mark Allatin,Orange Country Great Park Soccer Field,https://fbref.com/en/matches/a7bebd32/Orange-County-SC-Real-Monarchs-September-19-2018-USL,,5,2,a7bebd32
73_2018,Regular Season,2018-09-19,19:30,Swope Park,San Antonio FC,'2-0,573,Ismir Pekmic,Children's Mercy Park,https://fbref.com/en/matches/df5620bf/Swope-Park-Rangers-San-Antonio-FC-September-19-2018-USL,,2,0,df5620bf
73_2018,Regular Season,2018-09-21,19:00,Atlanta United 2,North Carolina,'1-6,"1,923",Sergii Demianchuk,Coolray Field,https://fbref.com/en/matches/51c19c7b/Atlanta-United-2-North-Carolina-FC-September-21-2018-USL,,1,6,51c19c7b
